POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1992,3.15E+00,3.26E+00,0.00E+00,2.76E-01,3.34E+00,5.09E-05
1993,2.71E+00,2.65E+00,0.00E+00,-6.80E-02,2.83E+00,4.69E-05
1994,2.46E+00,2.18E+00,0.00E+00,-4.46E-01,2.63E+00,3.53E-05
1995,2.12E+00,1.81E+00,0.00E+00,-3.97E-01,2.32E+00,2.40E-05
1996,2.21E+00,1.81E+00,0.00E+00,-5.84E-01,2.46E+00,2.96E-05
1997,2.78E+00,2.24E+00,0.00E+00,-8.44E-01,3.09E+00,3.61E-05
1998,2.86E+00,2.41E+00,0.00E+00,-7.28E-01,3.14E+00,3.62E-05
1999,2.81E+00,2.30E+00,0.00E+00,-8.14E-01,3.11E+00,3.57E-05
2000,2.78E+00,2.23E+00,0.00E+00,-8.56E-01,3.09E+00,3.66E-05
2001,2.21E+00,1.81E+00,0.00E+00,-5.70E-01,2.46E+00,2.94E-05
2002,2.17E+00,1.87E+00,0.00E+00,-3.73E-01,2.39E+00,2.44E-05
2003,2.35E+00,1.93E+00,0.00E+00,-6.32E-01,2.56E+00,3.53E-05
2004,2.72E+00,2.63E+00,0.00E+00,-1.11E-01,2.84E+00,4.70E-05
2005,3.14E+00,3.24E+00,0.00E+00,2.89E-01,3.35E+00,5.03E-05
2006,3.11E+00,3.23E+00,0.00E+00,3.43E-01,3.35E+00,5.00E-05
2007,2.79E+00,4.67E-01,0.00E+00,-2.50E+00,2.97E+00,2.30E-05
2008,2.68E+00,7.40E-01,0.00E+00,-2.22E+00,2.96E+00,1.97E-05
2009,2.30E+00,7.15E-01,0.00E+00,-1.84E+00,2.56E+00,1.04E-05
2010,1.98E+00,1.01E+00,0.00E+00,-1.22E+00,2.23E+00,6.15E-06
2011,1.82E+00,1.06E+00,0.00E+00,-9.06E-01,2.06E+00,1.35E-05
2012,2.38E+00,6.78E-01,0.00E+00,-1.37E+00,2.54E+00,1.82E-05
2013,3.02E+00,4.69E-01,0.00E+00,-1.86E+00,3.23E+00,2.06E-05
2014,3.13E+00,2.97E-01,0.00E+00,-2.21E+00,3.36E+00,2.12E-05
2015,2.88E+00,3.17E+00,0.00E+00,2.44E+00,3.17E+00,3.62E-05
2016,2.82E+00,3.10E+00,0.00E+00,2.39E+00,3.10E+00,3.82E-05
2017,1.90E+00,2.10E+00,0.00E+00,1.31E+00,2.10E+00,2.87E-05
2018,1.26E+00,7.49E-01,0.00E+00,-4.20E-01,1.39E+00,1.59E-05
2019,2.04E+00,3.50E-02,0.00E+00,-1.83E+00,2.27E+00,1.23E-05
2020,2.79E+00,-7.00E-01,0.00E+00,-3.01E+00,3.11E+00,1.00E-05
2021,2.50E+00,-2.78E-01,0.00E+00,-2.60E+00,2.69E+00,5.83E-06
2022,2.40E+00,3.72E-01,0.00E+00,-2.06E+00,2.49E+00,7.80E-06
2023,3.29E+00,-5.51E-01,0.00E+00,-3.52E+00,3.52E+00,1.03E-05
2024,2.95E+00,-3.72E-01,0.00E+00,-3.11E+00,3.11E+00,9.51E-06
2025,1.86E+00,-8.61E-02,0.00E+00,-1.77E+00,1.98E+00,9.02E-06
2026,1.58E+00,6.96E-01,0.00E+00,-9.90E-01,1.74E+00,1.91E-05
2027,2.18E+00,1.32E+00,0.00E+00,-1.14E+00,2.46E+00,3.01E-05
2028,2.53E+00,1.56E+00,0.00E+00,-1.34E+00,2.90E+00,3.15E-05
2029,2.07E+00,9.40E-01,0.00E+00,-1.39E+00,2.33E+00,2.21E-05
2030,1.90E+00,5.27E-01,0.00E+00,-1.57E+00,2.10E+00,1.61E-05
2031,1.39E+00,3.22E-01,0.00E+00,-9.09E-01,1.51E+00,6.21E-06
2032,2.09E+00,-8.87E-01,0.00E+00,-2.35E+00,2.35E+00,-1.75E-06
2033,2.71E+00,-1.30E+00,0.00E+00,-3.05E+00,3.05E+00,-9.84E-06
2034,2.58E+00,-7.02E-01,0.00E+00,-2.59E+00,2.90E+00,-4.92E-06
2035,1.27E+00,5.68E-01,0.00E+00,-6.22E-01,1.40E+00,6.32E-06
2036,1.49E+00,7.30E-01,0.00E+00,-2.30E-01,1.62E+00,7.97E-06
